Marke Beschreibung;Artikelkategorie Beschreibung;Artikeltyp Beschreibung;Artikelnr.;Kred.- Artikelnr.;Farbsaison2;Beschreibung;Kreditorfarbcode;Kreditor Farbtext;Grösse;Lagerort Code;Filialendbestand;NOS Griffeinheit;Mindestbestellmenge;Aktueller Sollbestand;Datum erster Wareneingang;Letztes WE Datum;VK-Preis aktuell;September 2023;Absatz 1 Jahr;Absatz Schnitt Monat;Reichweite in Monaten;August 2023;Juli 2023;Juni 2023;Mai 2023;April 2023;März 2023;Februar 2023;Januar 2023;Dezember 2022;November 2022;Oktober 2022;September 2022
NARS;Warengruppenverkauf;Dummy Artikel;ARTI10289424;DUMMY NARS;9999;Warengruppenverkauf;FARBLOS;FARBLOS;OS;101;4;0;0;1;24.06.21;25.05.23;1.9;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0
NARS;Gesichtspflege Damen;Reinigung Gesicht;ARTI10229924;34102250101;9999;EYE MAKE-UP REMOVER;001;GENTLE OIL-FREE EYE MUP REMOVE;KEINEGRÖßE;101;3;1;3;3;12.04.21;03.05.23;45.9;0;9;0.75;4;1;2;1;0;2;0;3;0;0;0;0;0
NARS;Gesichtspflege Damen;Spezialpflege;ARTI10329917;34500299101;9999;NARSskin Light Reflecting Firm Serum;FARBLOS;FARBLOS;30;101;4;1;0;3;17.06.22;11.04.23;112.9;0;11;0.916666667;4.363636364;0;1;0;1;1;3;1;0;2;1;0;1
NARS;Gesichtspflege Damen;Damen Gesichtspflege;ARTI10329918;34501963101;9999;NARSskin Light Reflecting Treatment Lotion;FARBLOS;FARBLOS;200;101;7;1;0;3;08.03.22;23.01.23;53.9;0;7;0.583333333;12;0;0;0;1;0;0;0;1;2;1;1;1
NARS;Gesichtspflege Damen;Damen Gesichtspflege;ARTI10329919;34501961101;9999;NARSskin Light Reflecting Moisturizer;FARBLOS;FARBLOS;60;101;2;1;0;3;08.03.22;15.05.23;85.9;0;2;0.166666667;12;0;1;0;1;0;0;0;0;0;0;0;0
NARS;Gesichtspflege Damen;Augenpflege;ARTI10329920;34501959101;9999;NARSskin Light Reflecting Eye & Lash Gel;FARBLOS;FARBLOS;1;101;3;1;0;3;08.03.22;15.05.23;79.9;0;9;0.75;4;0;0;0;1;0;0;2;2;1;2;0;1
NARS;Gesichtspflege Damen;Spezialpflege;ARTI10329921;34501841101;9999;NARSskin Light Reflecting Restorative Night Treatm;FARBLOS;FARBLOS;30;101;3;1;0;3;15.05.23;15.05.23;119.9;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10229771;34106041101;9999;SHEER GLOW FOUNDATION;005;DEAUVILLE;KEINEGRÖßE;101;6;1;3;6;12.04.21;06.02.23;77.9;0;14;1.166666667;5.142857143;0;0;0;0;0;0;2;5;2;2;2;1
NARS;Maquillage Make-Up;Sonnenpuder;ARTI10229779;34105173101;9999;BRONZING POWDER;003;DEEP BROWN POWDER CASINO;OS;101;7;1;3;6;03.05.21;28.08.23;56.9;0;14;1.166666667;6;2;1;4;1;1;0;0;0;1;0;2;2
NARS;Maquillage Make-Up;Blush;ARTI10229799;34500533101;9999;AIR MATTE BLUSH;001;ORGASM;KEINEGRÖßE;101;6;3;3;6;19.02.21;03.04.23;47.9;0;11;0.916666667;6.545454545;1;1;0;0;0;3;2;1;0;2;0;1
